측정지역,법적구분,용도구분,지역구분,측정지점,측정년도,측정분기,평균 낮,평균 밤,낮 09시 자료,낮 12시 자료,낮 16시 자료,낮 20시 자료,밤 23시 자료,밤 01시 자료
영도구 남항동,다,준공업,도로,구 남항새마을금고 앞,2023,2,66,59,66,67,67,64,63,56
영도구 남항동,다,준공업,도로,카이스트안경 앞,2023,2,67,61,68,68,69,66,64,58
중구 대청공원,가,녹지,일반,도서관 앞,2023,1,52,44,53,52,53,52,47,41
중구 대청공원,가,녹지,일반,동상 앞,2023,1,48,38,50,50,50,43,41,36
중구 대청공원,가,녹지,일반,충혼탑입구,2023,1,57,55,59,58,58,56,62,48
부산진구 개금2동 백병원 주변,가,종합병원,도로,개금2동새마을금고 앞,2023,1,63,54,65,64,65,61,56,52
부산진구 개금2동 백병원 주변,가,종합병원,도로,주원초등학교 앞,2023,1,64,55,66,65,65,63,59,52
부산진구 개금2동 백병원 주변,가,종합병원,일반,건강탕 앞,2023,1,56,50,56,63,57,51,54,46
부산진구 개금2동 백병원 주변,가,종합병원,일반,고원아파트1동 107동 앞,2023,1,55,47,56,61,55,49,49,45
부산진구 개금2동 백병원 주변,가,종합병원,일반,하성약국 옆,2023,1,57,48,60,61,58,51,48,48
강서구 명지동,나,일반주거,도로,더웨스턴,2023,1,64,55,64,63,65,65,57,54
강서구 명지동,나,일반주거,도로,퀸덤아파트,2023,1,62,56,63,62,62,62,58,54
강서구 명지동,나,일반주거,일반,삼정그린코아,2023,1,56,45,56,57,56,56,48,42
강서구 명지동,나,일반주거,일반,에덴하우스,2023,1,59,50,53,60,61,64,54,46
강서구 명지동,나,일반주거,일반,협성휴포레,2023,1,53,43,53,53,56,53,45,42
기장군 기장읍,나,일반주거,도로,기장FILA 앞,2023,1,67,65,67,67,67,68,67,63
기장군 기장읍,나,일반주거,도로,초이스안경 앞,2023,1,68,64,68,68,69,69,65,64
기장군 기장읍,나,일반주거,일반,678치킨 앞,2023,1,56,52,58,51,61,55,55,49
기장군 기장읍,나,일반주거,일반,대진아파트 앞,2023,1,56,47,58,55,56,57,51,43
기장군 기장읍,나,일반주거,일반,유한빌라 앞,2023,1,60,55,62,61,59,59,55,55
기장군 정관읍,나,일반주거,도로,EG더원,2023,1,65,59,66,65,67,65,62,56
기장군 정관읍,나,일반주거,도로,LH아파트,2023,1,63,57,66,66,62,61,60,55
기장군 정관읍,나,일반주거,일반,동일스위트,2023,1,53,45,48,54,58,53,48,42
기장군 정관읍,나,일반주거,일반,이진캐스빌,2023,1,51,41,51,50,54,49,41,41
기장군 정관읍,나,일반주거,일반,하늘애,2023,1,52,44,56,52,49,51,48,41
동래구 사직2동,나,일반주거,도로,시티부동산 건너편,2023,1,62,55,62,62,63,61,57,53
동래구 사직2동,나,일반주거,도로,종로엠스쿨 앞,2023,1,65,60,64,64,67,65,61,60
동래구 사직2동,나,일반주거,일반,남다른대구막창 앞,2023,1,56,48,55,56,58,58,51,46
동래구 사직2동,나,일반주거,일반,대구반야월막창 사직점 앞,2023,1,63,60,59,64,63,66,62,59
동래구 사직2동,나,일반주거,일반,쌍용예가 107동 앞,2023,1,55,47,55,54,56,56,47,47
해운대구 중1동,다,상업,도로,노보텔호텔 우,2023,1,73,72,73,73,73,73,72,72
해운대구 중1동,다,상업,도로,노보텔호텔 좌,2023,1,71,70,71,73,70,70,70,71
해운대구 중1동,다,상업,일반,노보텔호텔 뒤,2023,1,59,56,57,60,60,59,56,56
해운대구 중1동,다,상업,일반,파라다이스호텔 옆,2023,1,59,57,56,60,62,59,57,57
해운대구 중1동,다,상업,일반,파라다이스호텔 입구,2023,1,60,58,56,62,61,62,59,58
영도구 남항동,다,준공업,도로,구 남항새마을금고 앞,2023,1,66,61,67,67,67,64,64,58
영도구 남항동,다,준공업,도로,카이스트안경 앞,2023,1,68,62,69,68,69,66,64,60
영도구 남항동,다,준공업,일반,신한아파트 앞,2023,1,58,43,62,61,60,52,44,43
영도구 남항동,다,준공업,일반,영도종합상가 앞,2023,1,62,41,66,65,71,48,41,41
영도구 남항동,다,준공업,일반,유성티엠주식회사 앞,2023,1,57,50,60,58,60,53,51,50
중구 대청공원,가,녹지,도로,시민아파트 앞,2023,2,64,59,64,64,65,63,63,55
중구 대청공원,가,녹지,도로,시민헌장 앞,2023,2,54,50,56,54,55,54,52,48
중구 대청공원,가,녹지,일반,도서관 앞,2023,2,55,47,57,56,57,52,50,45
중구 대청공원,가,녹지,일반,동상 앞,2023,2,48,40,51,49,48,45,42,39
중구 대청공원,가,녹지,일반,충혼탑입구,2023,2,58,55,59,58,59,57,62,49
부산진구 개금2동 백병원 주변,가,종합병원,도로,개금2동새마을금고 앞,2023,2,62,55,63,63,65,60,56,54
부산진구 개금2동 백병원 주변,가,종합병원,도로,주원초등학교 앞,2023,2,62,54,62,63,64,61,55,53
부산진구 개금2동 백병원 주변,가,종합병원,일반,건강탕 앞,2023,2,54,47,55,56,54,52,48,47
부산진구 개금2동 백병원 주변,가,종합병원,일반,고원아파트1동 107동 앞,2023,2,57,48,65,59,55,49,48,48
부산진구 개금2동 백병원 주변,가,종합병원,일반,하성약국 옆,2023,2,56,48,59,57,57,51,48,48
강서구 명지동,나,일반주거,도로,더웨스턴,2023,2,63,57,64,63,64,64,61,54
강서구 명지동,나,일반주거,도로,퀸덤아파트,2023,2,61,56,62,62,62,61,59,54
강서구 명지동,나,일반주거,일반,삼정그린코아,2023,2,54,44,53,58,52,55,48,40
강서구 명지동,나,일반주거,일반,에덴하우스,2023,2,60,49,52,62,62,66,53,46
강서구 명지동,나,일반주거,일반,협성휴포레,2023,2,56,45,53,58,55,58,45,45
기장군 기장읍,나,일반주거,도로,기장FILA 앞,2023,2,67,64,67,67,67,68,68,61
기장군 기장읍,나,일반주거,도로,초이스안경 앞,2023,2,69,65,68,69,69,70,68,62
기장군 기장읍,나,일반주거,일반,678치킨 앞,2023,2,53,54,51,54,54,56,57,52
기장군 기장읍,나,일반주거,일반,대진아파트 앞,2023,2,54,49,54,55,56,52,50,48
기장군 기장읍,나,일반주거,일반,유한빌라 앞,2023,2,58,58,56,62,57,60,60,56
중구 대청공원,가,녹지,도로,시민아파트 앞,2023,1,65,58,66,65,65,64,62,55
중구 대청공원,가,녹지,도로,시민헌장 앞,2023,1,54,46,55,54,56,54,51,41
기장군 정관읍,나,일반주거,도로,EG더원,2023,2,65,60,65,65,67,65,62,58
기장군 정관읍,나,일반주거,도로,LH아파트,2023,2,65,57,66,65,66,63,59,56
기장군 정관읍,나,일반주거,일반,동일스위트,2023,2,50,45,48,51,53,51,47,44
기장군 정관읍,나,일반주거,일반,이진캐스빌,2023,2,52,43,56,51,56,47,41,45
기장군 정관읍,나,일반주거,일반,하늘애,2023,2,54,49,55,53,55,55,55,43
동래구 사직2동,나,일반주거,도로,시티부동산 건너편,2023,2,62,53,64,61,63,61,57,50
동래구 사직2동,나,일반주거,도로,종로엠스쿨 앞,2023,2,64,58,64,64,65,63,61,55
동래구 사직2동,나,일반주거,일반,남다른대구막창 앞,2023,2,56,53,54,56,57,58,54,52
동래구 사직2동,나,일반주거,일반,대구반야월막창 사직점 앞,2023,2,63,63,61,63,63,68,64,62
동래구 사직2동,나,일반주거,일반,쌍용예가 107동 앞,2023,2,54,44,55,53,57,54,46,42
해운대구 중1동,다,상업,도로,노보텔호텔 우,2023,2,68,68,68,67,67,71,73,64
해운대구 중1동,다,상업,도로,노보텔호텔 좌,2023,2,69,69,69,68,68,74,73,65
해운대구 중1동,다,상업,일반,노보텔호텔 뒤,2023,2,61,55,59,62,63,60,56,55
해운대구 중1동,다,상업,일반,파라다이스호텔 옆,2023,2,59,55,58,60,61,59,56,54
해운대구 중1동,다,상업,일반,파라다이스호텔 입구,2023,2,62,55,59,65,64,62,57,54
해운대구 중1동,다,상업,일반,노보텔호텔 뒤,2023,4,59,58,60,60,60,59,59,58
