항목,계,전,답,과수원,목장용지,임야,염전,대,공장용지,학교용지,주차장,주유소용지,창고용지,도로,철도용지,하천,제방,구거,유지,양어장,수도용지,공원,체육용지,유원지,종교용지,사적지,묘지,잡종지,광천지,공장 용지,학교 용지,주유소 용지,창고 용지,철도 용지,수도 용지,체육 용지,종교 용지
강서구 대저1동,17727660.8,1958007.0,4464878.0,4143.0,32293.0,4678.0,0.0,1877084.8,5621.0,80904.0,9829.0,20206.0,7462.0,1374616.0,346343.0,4246501.0,348622.0,823975.0,6552.0,0.0,0.0,646.0,209808.0,405.0,10474.0,0.0,1173.0,1893440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강서구 대저2동,29250833.8,1381832.0,8779395.0,5444.0,180597.0,149.0,0.0,1942425.6,37682.6,64977.0,34658.1,8756.0,120695.9,1545231.9,27715.0,7406824.0,437663.0,1375333.3,33325.6,0.0,122014.0,67613.8,10352.0,902.0,8234.0,0.0,0.0,5659013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강서구 강동동,18488440.3,1074405.2,10201936.7,8996.0,47171.0,25661.0,0.0,1349529.4,568.0,47777.0,762.0,5779.0,14783.0,1017745.0,244.0,3378674.0,143890.0,924788.0,15044.0,11548.0,0.0,0.0,29354.0,805.0,329.0,0.0,36982.0,151669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강서구 명지1동,7821967.8,600907.5,2203423.5,0.0,2812.5,387019.55,226.5,1445321.65,1258.0,121877.35,17787.25,5145.5,2567.5,852750.25,0.0,577969.55,187164.2,313449.2,36716.75,0.0,2097.95,278444.55,0.0,561.4,9615.4,0.0,2032.5,772819.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강서구 명지2동,7821967.8,600907.5,2203423.5,0.0,2812.5,387019.55,226.5,1445321.65,1258.0,121877.35,17787.25,5145.5,2567.5,852750.25,0.0,577969.55,187164.2,313449.2,36716.75,0.0,2097.95,278444.55,0.0,561.4,9615.4,0.0,2032.5,772819.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강서구 가락동,18951223.1,694010.8,10685427.0,2049.0,11298.0,16904.0,0.0,918549.8,0.0,53226.0,10372.0,10037.0,18608.0,1440650.4,0.0,3093878.0,136367.0,1414760.2,171453.0,0.0,0.0,3229.9,2038.0,0.0,2890.0,0.0,79810.0,185665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강서구 녹산동,56861461.2,1028182.0,1924995.0,41510.0,1550.0,23688999.2,60238.0,2636630.6,13609542.4,131728.9,173737.3,36473.7,117181.4,5536563.0,225451.0,1602785.1,179516.8,794698.0,261329.1,0.0,33464.1,2504402.8,17915.6,611717.9,25389.4,0.0,102244.0,1515215.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강서구 가덕도동,24571090.3,1389351.0,1121614.0,3100.0,70425.0,16600678.0,0.0,578952.0,14276.0,58707.0,1179.7,492.0,1965.0,903526.1,93919.8,0.0,49927.7,126265.1,40782.0,0.0,4663.0,94221.4,0.0,0.0,29071.0,17880.0,112136.0,3257958.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
금정구 서1동,559957.7666666667,1305.0,3533.3333333333335,0.0,0.0,148097.0,0.0,266586.6666666667,0.0,34209.4,4490.400000000001,955.7666666666668,361.3,89331.03333333333,0.0,0.0,0.0,4793.933333333333,0.0,0.0,1669.6666666666667,716.1333333333333,0.0,0.0,3207.4,0.0,174.0,526.7333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
금정구 서2동,559957.7666666667,1305.0,3533.3333333333335,0.0,0.0,148097.0,0.0,266586.6666666667,0.0,34209.4,4490.400000000001,955.7666666666668,361.3,89331.03333333333,0.0,0.0,0.0,4793.933333333333,0.0,0.0,1669.6666666666667,716.1333333333333,0.0,0.0,3207.4,0.0,174.0,526.7333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
금정구 서3동,559957.7666666667,1305.0,3533.3333333333335,0.0,0.0,148097.0,0.0,266586.6666666667,0.0,34209.4,4490.400000000001,955.7666666666668,361.3,89331.03333333333,0.0,0.0,0.0,4793.933333333333,0.0,0.0,1669.6666666666667,716.1333333333333,0.0,0.0,3207.4,0.0,174.0,526.7333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
금정구 금사회동동,5516255.199999999,72543.0,60704.0,0.0,0.0,3073050.0,0.0,559568.2,461548.80000000005,27714.5,6898.0,11477.3,17231.5,628412.8,0.0,282167.0,0.0,31493.5,0.0,0.0,151598.0,36550.0,0.0,0.0,5523.2,0.0,0.0,81130.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
금정구 부곡1동,994853.85,3338.5,3251.25,0.0,422.25,397545.575,0.0,352778.0,2510.575,76557.925,1585.075,2837.8,600.6,112413.425,36.25,12028.625,205.0,12125.15,0.0,0.0,10.75,3229.425,0.0,0.0,10500.65,0.0,1303.25,1573.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
금정구 부곡2동,994853.85,3338.5,3251.25,0.0,422.25,397545.575,0.0,352778.0,2510.575,76557.925,1585.075,2837.8,600.6,112413.425,36.25,12028.625,205.0,12125.15,0.0,0.0,10.75,3229.425,0.0,0.0,10500.65,0.0,1303.25,1573.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
금정구 부곡3동,7824102.85,29623.5,147267.25,0.0,422.25,5072553.575,0.0,423204.0,2510.575,76557.925,2151.075,2837.8,1029.6,272310.425,36.25,349520.625,205.0,112105.15,0.0,0.0,1286306.75,3229.425,0.0,0.0,15246.65,0.0,19093.25,3084.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
