측정소 위치,pH,BOD,COD,TOC,SS,DO,T-P,총대장균군,분원성대장균군,전기전도도,암모니아성질소,질산성질소,용존총질소,인산염인,용존총인,클로로필A,최저수온,최고수온,pH분류,수온분류,전도분류
-,7.81,2.19,6.19,3.11,6.81,10.58,0.1,34370.71,26682.82,359.86,0.29,2.59,3.56,0.06,0.08,4.4,7.6,30.3,좋음,매우 나쁨,좋음
S&T모티브,8.15,0.7,2.15,1.3,0.9,11.85,0.03,735,109.5,162.5,0,0.85,0.89,0.02,0.03,1.55,8.3,24.8,좋음,나쁨,좋음
강동교,8.19,3.99,8.08,4.05,16.15,10.1,0.09,1860,101.5,369.83,0.09,1.86,2.7,0.02,0.04,49.52,3.6,30.6,좋음,매우 나쁨,좋음
강서낙동강교,7.9,1.93,5.68,3.25,5.4,9.88,0.06,618.17,293.17,281.33,0.13,1.54,2.69,0.03,0.04,23.23,8.3,30.2,좋음,매우 나쁨,좋음
강월교,7.72,1.7,5.98,2.78,11.62,10.82,0.08,11100,6775,311.25,0.32,1.9,2.66,0.06,0.08,6.15,10,25.9,좋음,나쁨,좋음
괘법교,7.41,3.06,6.89,3.49,15.12,9.07,0.15,78358.33,28870.83,547.08,1.12,1.66,3.31,0.03,0.04,22.92,6,28,좋음,나쁨,나쁨
교도소입구,8.11,2.22,6.52,3.69,8.76,10.9,0.08,8001.08,2014.33,347.08,0.12,2.05,2.76,0.03,0.04,18.98,4.5,29,좋음,매우 나쁨,좋음
구덕터널입구,8.22,2.51,6.29,3.27,10.01,10.88,0.1,23995,7122.17,347.08,0.11,2.34,3,0.05,0.06,17.36,4.9,26.9,좋음,매우 나쁨,좋음
구포반도아파트,7.33,5.97,7,3.27,4,8.4,0.36,190766.67,121436.67,513.67,1.7,1.42,3.91,0.29,0.28,7.57,10.5,23,좋음,나쁨,나쁨
김해교,8.08,4.08,8.14,3.98,19.35,10.2,0.09,7429.17,184.08,337.58,0.1,2.05,2.97,0.02,0.04,54.28,3.2,31.1,좋음,매우 나쁨,좋음
낙동강하구둑,7.9,1.92,5.67,3.23,5.92,9.58,0.06,357.17,293,341.17,0.08,1.41,2.44,0.02,0.04,21.85,8.5,30.1,좋음,매우 나쁨,좋음
녹산수문,8.13,3.05,7.25,4,12.7,10.38,0.08,4457.67,948.92,863.25,0.18,2.05,2.99,0.02,0.04,35.83,2.2,32,좋음,매우 나쁨,나쁨
대동화명대교,7.95,1.77,5.52,3.3,5.37,9.48,0.07,4308.33,1420.33,285.5,0.12,1.54,2.75,0.03,0.04,18.73,8,30.2,좋음,매우 나쁨,좋음
대저수문,7.97,2.46,5.92,3.52,7.03,9.78,0.09,2278.33,237.5,343.67,0.1,2.24,2.91,0.03,0.04,28.49,3.5,29.6,좋음,매우 나쁨,좋음
덕천교,7.02,38.39,26.06,8.68,13.12,3.75,0.94,6357500,2256500,613.17,7.75,0.4,10.29,0.76,0.81,8.83,8.9,24.2,좋음,나쁨,나쁨
동백교,7.4,5.89,8.65,4.78,11.62,6.72,0.4,806618.12,428701.25,17024.56,2.44,2.05,5.56,0.33,0.37,4.66,10.3,26.3,좋음,나쁨,나쁨
동아제분 앞,7.07,7.5,7.35,3.53,17.38,4.58,0.4,334416.67,277000,38279.17,3.3,0.08,4.32,0.31,0.33,1.83,9.4,25.4,좋음,나쁨,나쁨
동천교(수영강관리사무소),7.79,8.73,8.48,4.25,9.52,8.57,0.18,44133.33,21331.67,996.5,6.48,4.12,12.83,0.08,0.1,18.87,7.5,25.2,좋음,나쁨,나쁨
둔치2호교,7.9,5.32,8.33,4.45,20.64,10.19,0.1,2820.83,124.5,766.42,0.27,2.36,3.97,0.02,0.04,68.12,2.7,31.3,좋음,매우 나쁨,나쁨
